step,time,0,1,2,3,4,5,6,7,
0, 2015/1/1 0:0:00,4,0,0,0,0,0,0,0,
1, 2015/1/1 0:5:00,4,0,0,0,0,0,0,0,
2, 2015/1/1 0:10:00,4,0,0,0,0,0,0,0,
3, 2015/1/1 0:15:00,4,0,0,0,0,0,0,0,
4, 2015/1/1 0:20:00,4,0,0,0,0,0,0,0,
5, 2015/1/1 0:25:00,4,0,0,0,0,0,0,0,
6, 2015/1/1 0:30:00,4,0,0,0,0,0,0,0,
7, 2015/1/1 0:35:00,4,0,0,0,0,0,0,0,
8, 2015/1/1 0:40:00,4,0,0,0,0,0,0,0,
9, 2015/1/1 0:45:00,4,0,0,0,0,0,0,0,
10, 2015/1/1 0:50:00,4,0,0,0,0,0,0,0,
11, 2015/1/1 0:55:00,4,0,0,0,0,0,0,0,
12, 2015/1/1 1:0:00,4,0,0,0,0,0,0,0,
13, 2015/1/1 1:5:00,4,0,0,0,0,0,0,0,
14, 2015/1/1 1:10:00,4,0,0,0,0,0,0,0,
15, 2015/1/1 1:15:00,4,0,0,0,0,0,0,0,
16, 2015/1/1 1:20:00,4,0,0,0,0,0,0,0,
17, 2015/1/1 1:25:00,4,0,0,0,0,0,0,0,
18, 2015/1/1 1:30:00,4,0,0,0,0,0,0,0,
19, 2015/1/1 1:35:00,4,0,0,0,0,0,0,0,
20, 2015/1/1 1:40:00,4,0,0,0,0,0,0,0,
21, 2015/1/1 1:45:00,4,0,0,0,0,0,0,0,
22, 2015/1/1 1:50:00,4,0,0,0,0,0,0,0,
23, 2015/1/1 1:55:00,4,0,0,0,0,0,0,0,
24, 2015/1/1 2:0:00,4,0,0,0,0,0,0,0,
25, 2015/1/1 2:5:00,4,0,0,0,0,0,0,0,
26, 2015/1/1 2:10:00,4,0,0,0,0,0,0,0,
27, 2015/1/1 2:15:00,4,0,0,0,0,0,0,0,
28, 2015/1/1 2:20:00,4,0,0,0,0,0,0,0,
29, 2015/1/1 2:25:00,4,0,0,0,0,0,0,0,
30, 2015/1/1 2:30:00,4,0,0,0,0,0,0,0,
31, 2015/1/1 2:35:00,4,0,0,0,0,0,0,0,
32, 2015/1/1 2:40:00,4,0,0,0,0,0,0,0,
33, 2015/1/1 2:45:00,4,0,0,0,0,0,0,0,
34, 2015/1/1 2:50:00,4,0,0,0,0,0,0,0,
35, 2015/1/1 2:55:00,4,0,0,0,0,0,0,0,
36, 2015/1/1 3:0:00,4,0,0,0,0,0,0,0,
37, 2015/1/1 3:5:00,4,0,0,0,0,0,0,0,
38, 2015/1/1 3:10:00,4,0,0,0,0,0,0,0,
39, 2015/1/1 3:15:00,4,0,0,0,0,0,0,0,
40, 2015/1/1 3:20:00,4,0,0,0,0,0,0,0,
41, 2015/1/1 3:25:00,4,0,0,0,0,0,0,0,
42, 2015/1/1 3:30:00,4,0,0,0,0,0,0,0,
43, 2015/1/1 3:35:00,4,0,0,0,0,0,0,0,
44, 2015/1/1 3:40:00,4,0,0,0,0,0,0,0,
45, 2015/1/1 3:45:00,4,0,0,0,0,0,0,0,
46, 2015/1/1 3:50:00,4,0,0,0,0,0,0,0,
47, 2015/1/1 3:55:00,4,0,0,0,0,0,0,0,
48, 2015/1/1 4:0:00,4,0,0,0,0,0,0,0,
49, 2015/1/1 4:5:00,4,0,0,0,0,0,0,0,
50, 2015/1/1 4:10:00,4,0,0,0,0,0,0,0,
51, 2015/1/1 4:15:00,4,0,0,0,0,0,0,0,
52, 2015/1/1 4:20:00,4,0,0,0,0,0,0,0,
53, 2015/1/1 4:25:00,4,0,0,0,0,0,0,0,
54, 2015/1/1 4:30:00,4,0,0,0,0,0,0,0,
55, 2015/1/1 4:35:00,4,0,0,0,0,0,0,0,
56, 2015/1/1 4:40:00,4,0,0,0,0,0,0,0,
57, 2015/1/1 4:45:00,4,0,0,0,0,0,0,0,
58, 2015/1/1 4:50:00,4,0,0,0,0,0,0,0,
59, 2015/1/1 4:55:00,4,0,0,0,0,0,0,0,
60, 2015/1/1 5:0:00,4,0,0,0,0,0,0,0,
61, 2015/1/1 5:5:00,4,0,0,0,0,0,0,0,
62, 2015/1/1 5:10:00,4,0,0,0,0,0,0,0,
63, 2015/1/1 5:15:00,4,0,0,0,0,0,0,0,
64, 2015/1/1 5:20:00,4,0,0,0,0,0,0,0,
65, 2015/1/1 5:25:00,4,0,0,0,0,0,0,0,
66, 2015/1/1 5:30:00,4,0,0,0,0,0,0,0,
67, 2015/1/1 5:35:00,4,0,0,0,0,0,0,0,
68, 2015/1/1 5:40:00,4,0,0,0,0,0,0,0,
69, 2015/1/1 5:45:00,4,0,0,0,0,0,0,0,
70, 2015/1/1 5:50:00,4,0,0,0,0,0,0,0,
71, 2015/1/1 5:55:00,4,0,0,0,0,0,0,0,
72, 2015/1/1 6:0:00,4,0,0,0,0,0,0,0,
73, 2015/1/1 6:5:00,4,0,0,0,0,0,0,0,
74, 2015/1/1 6:10:00,4,0,0,0,0,0,0,0,
75, 2015/1/1 6:15:00,4,0,0,0,0,0,0,0,
76, 2015/1/1 6:20:00,4,0,0,0,0,0,0,0,
77, 2015/1/1 6:25:00,4,0,0,0,0,0,0,0,
78, 2015/1/1 6:30:00,4,0,0,0,0,0,0,0,
79, 2015/1/1 6:35:00,4,0,0,0,0,0,0,0,
80, 2015/1/1 6:40:00,4,0,0,0,0,0,0,0,
81, 2015/1/1 6:45:00,4,0,0,0,0,0,0,0,
82, 2015/1/1 6:50:00,4,0,0,0,0,0,0,0,
83, 2015/1/1 6:55:00,4,0,0,0,0,0,0,0,
84, 2015/1/1 7:0:00,4,0,0,0,0,0,0,0,
85, 2015/1/1 7:5:00,4,0,0,0,0,0,0,0,
86, 2015/1/1 7:10:00,4,0,0,0,0,0,0,0,
87, 2015/1/1 7:15:00,4,0,0,0,0,0,0,0,
88, 2015/1/1 7:20:00,4,0,0,0,0,0,0,0,
89, 2015/1/1 7:25:00,4,0,0,0,0,0,0,0,
90, 2015/1/1 7:30:00,4,0,0,0,0,0,0,0,
91, 2015/1/1 7:35:00,4,0,0,0,0,0,0,0,
92, 2015/1/1 7:40:00,4,0,0,0,0,0,0,0,
93, 2015/1/1 7:45:00,4,0,0,0,0,0,0,0,
94, 2015/1/1 7:50:00,4,0,0,0,0,0,0,0,
95, 2015/1/1 7:55:00,4,0,0,0,0,0,0,0,
96, 2015/1/1 8:0:00,4,0,0,0,0,0,0,0,
97, 2015/1/1 8:5:00,0,2,2,0,0,0,0,0,
98, 2015/1/1 8:10:00,0,2,2,0,0,0,0,0,
99, 2015/1/1 8:15:00,0,2,2,0,0,0,0,0,
100, 2015/1/1 8:20:00,0,2,2,0,0,0,0,0,
101, 2015/1/1 8:25:00,0,2,2,0,0,0,0,0,
102, 2015/1/1 8:30:00,0,2,2,0,0,0,0,0,
103, 2015/1/1 8:35:00,0,2,2,0,0,0,0,0,
104, 2015/1/1 8:40:00,0,2,1,0,1,0,0,0,
105, 2015/1/1 8:45:00,0,2,2,0,0,0,0,0,
106, 2015/1/1 8:50:00,0,1,2,1,0,0,0,0,
107, 2015/1/1 8:55:00,0,1,2,1,0,0,0,0,
108, 2015/1/1 9:0:00,0,1,2,1,0,0,0,0,
109, 2015/1/1 9:5:00,0,1,2,1,0,0,0,0,
110, 2015/1/1 9:10:00,0,1,1,1,0,0,1,0,
111, 2015/1/1 9:15:00,0,2,2,0,0,0,0,0,
112, 2015/1/1 9:20:00,0,1,3,0,0,0,0,0,
113, 2015/1/1 9:25:00,0,1,3,0,0,0,0,0,
114, 2015/1/1 9:30:00,0,1,3,0,0,0,0,0,
115, 2015/1/1 9:35:00,0,2,2,0,0,0,0,0,
116, 2015/1/1 9:40:00,0,2,2,0,0,0,0,0,
117, 2015/1/1 9:45:00,0,2,1,0,0,0,1,0,
118, 2015/1/1 9:50:00,0,2,1,0,0,0,1,0,
119, 2015/1/1 9:55:00,0,2,1,0,0,0,1,0,
120, 2015/1/1 10:0:00,0,2,2,0,0,0,0,0,
121, 2015/1/1 10:5:00,0,2,2,0,0,0,0,0,
122, 2015/1/1 10:10:00,0,2,2,0,0,0,0,0,
123, 2015/1/1 10:15:00,0,1,2,1,0,0,0,0,
124, 2015/1/1 10:20:00,0,1,2,0,0,0,0,1,
125, 2015/1/1 10:25:00,0,1,3,0,0,0,0,0,
126, 2015/1/1 10:30:00,0,2,2,0,0,0,0,0,
127, 2015/1/1 10:35:00,0,2,1,0,0,0,1,0,
